distrito,edad,email,id,nombre,partido,sexo,images
"{'1': 0, '4': 48, '2': 48}",84,fbayo,132,Francisco Bayo Veloso,Renovación Nacional,M,https://www.camara.cl/img.aspx?prmid=chs132
"{'3': 27, '1': 0, '4': 27}",80,ecarabal,137,Eliana Caraball Martínez,Partido Demócrata Cristiano,F,https://www.camara.cl/img.aspx?prmid=chs137
"{'3': 11, '4': 11}",75,pcornejo,140,Patricio Cornejo Vidaurrázaga,Partido Demócrata Cristiano,M,https://www.camara.cl/img.aspx?prmid=chs140
"{'1': 0, '4': 46, '2': 27}",62,cescalona,150,Camilo Escalona Medina,Partido Socialista,M,https://www.camara.cl/img.aspx?prmid=chs150
{'4': 3},65,mescobar,151,Mario Escobar Urbina,Unión Demócrata Independiente,M,https://www.camara.cl/img.aspx?prmid=chs151
"{'3': 49, '1': 0, '4': 49, '2': 49}",55,jgalilea,155,José Antonio Galilea Vidaurre,Renovación Nacional,M,https://www.camara.cl/img.aspx?prmid=chs155
"{'3': 18, '4': 18, '2': 0}",56,ggirardi,158,Guido Girardi Lavín,Partido Por la Democracia,M,https://www.camara.cl/img.aspx?prmid=chs158
"{'3': 1, '4': 1}",75,rosadearica,159,Rosa González Román,Independientes,F,https://www.camara.cl/img.aspx?prmid=chs159
"{'3': 23, '4': 23}",60,cdpia,161,María Pía Guzmán Mena,Renovación Nacional,F,https://www.camara.cl/img.aspx?prmid=chs161
{'4': 15},62,chidalgo,164,Carlos Hidalgo González,Independientes,M,https://www.camara.cl/img.aspx?prmid=chs164
"{'3': 14, '4': 14}",71,gibanez,165,Gonzalo Ibáñez Santa María,Unión Demócrata Independiente,M,https://www.camara.cl/img.aspx?prmid=chs165
{'4': 13},58,cibanez,166,Carmen Ibáñez Soto,Renovación Nacional,F,https://www.camara.cl/img.aspx?prmid=chs166
"{'3': 43, '1': 0, '4': 43, '2': 43}",64,barrueto,169,Víctor Jeame Barrueto,Partido Por la Democracia,M,https://www.camara.cl/img.aspx?prmid=chs169
"{'3': 57, '1': 0, '4': 57, '2': 57}",64,kuschel,172,Carlos Ignacio Kuschel Silva,Renovación Nacional,M,https://www.camara.cl/img.aspx?prmid=chs172
"{'3': 19, '1': 0, '4': 19, '2': 19}",63,cleay,175,Cristián Leay Morán,Unión Demócrata Independiente,M,https://www.camara.cl/img.aspx?prmid=chs175
"{'3': 33, '1': 0, '4': 33, '2': 33}",56,jpleteli,176,Juan Pablo Letelier Morel,Partido Socialista,M,https://www.camara.cl/img.aspx?prmid=chs176
"{'8': 33, '3': 42, '4': 42, '2': 0}",61,felipe.letelier,177,Felipe Letelier Norambuena,Partido Por la Democracia,M,https://www.camara.cl/img.aspx?prmid=chs177
"{'3': 12, '1': 0, '4': 12, '2': 12}",69,al,178,Arturo Longton Guerrero,Renovación Nacional,M,https://www.camara.cl/img.aspx?prmid=chs178
"{'3': 30, '1': 0, '4': 17, '2': 30}",59,plonguei,179,Pablo Longueira Montes,Unión Demócrata Independiente,M,https://www.camara.cl/img.aspx?prmid=chs179
"{'3': 16, '4': 16, '2': 0}",61,luksic,181,Zarko Luksic Sandoval,Partido Demócrata Cristiano,M,https://www.camara.cl/img.aspx?prmid=chs181
{'4': 10},65,mmella,185,María Eugenia Mella Gajardo,Partido Demócrata Cristiano,F,https://www.camara.cl/img.aspx?prmid=chs185
"{'3': 9, '4': 9}",51,dmolina,187,Darío Molina Sanhueza,Unión Demócrata Independiente,M,https://www.camara.cl/img.aspx?prmid=chs187
"{'3': 3, '4': 3}",74,wmora,190,Waldo Mora Longa,Partido Demócrata Cristiano,M,https://www.camara.cl/img.aspx?prmid=chs190
"{'3': 60, '4': 60, '2': 0}",73,pmunoz,193,Pedro Muñoz Aburto,Partido Socialista,M,https://www.camara.cl/img.aspx?prmid=chs193
"{'3': 45, '4': 45, '2': 0}",58,anavarro,195,Alejandro Navarro Brain,Partido Socialista,M,https://www.camara.cl/img.aspx?prmid=chs195
"{'3': 32, '4': 35, '2': 0}",69,anibalpe,205,Aníbal Pérez Lobos,Partido Por la Democracia,M,https://www.camara.cl/img.aspx?prmid=chs205
"{'1': 0, '4': 2, '2': 2}",83,rperez,206,Ramón Pérez Opazo,Renovación Nacional,M,https://www.camara.cl/img.aspx?prmid=chs206
"{'3': 47, '1': 0, '4': 47, '2': 47}",63,vperez,208,Víctor Pérez Varela,Unión Demócrata Independiente,M,https://www.camara.cl/img.aspx?prmid=chs208
{'4': 37},58,pprieto,209,Pablo Prieto Lorca,Unión Demócrata Independiente,M,https://www.camara.cl/img.aspx?prmid=chs209
"{'3': 30, '4': 30}",68,eriveros,213,Edgardo Riveros Marín,Partido Demócrata Cristiano,M,https://www.camara.cl/img.aspx?prmid=chs213
"{'3': 45, '1': 0, '4': 45, '2': 45}",81,esalas,220,Edmundo Salas De La Fuente,Partido Demócrata Cristiano,M,https://www.camara.cl/img.aspx?prmid=chs220
"{'3': 59, '4': 59}",68,lsanchez,221,Leopoldo Sánchez Grunert,Partido Por la Democracia,M,https://www.camara.cl/img.aspx?prmid=chs221
"{'3': 28, '1': 0, '4': 28, '2': 28}",64,rseguel,222,Rodolfo Seguel Molina,Partido Demócrata Cristiano,M,https://www.camara.cl/img.aspx?prmid=chs222
"{'3': 53, '4': 53, '2': 0}",54,esilva,224,Exequiel Silva Ortiz,Partido Demócrata Cristiano,M,https://www.camara.cl/img.aspx?prmid=chs224
{'4': 36},76,btapia,226,Boris Tapia Martínez,Partido Demócrata Cristiano,M,https://www.camara.cl/img.aspx?prmid=chs226
{'4': 20},64,mvarela,234,Mario Varela Herrera,Unión Demócrata Independiente,M,https://www.camara.cl/img.aspx?prmid=chs234
"{'3': 48, '1': 0, '4': 48, '2': 48}",91,villouta,239,Edmundo Villouta Concha,Partido Demócrata Cristiano,M,https://www.camara.cl/img.aspx?prmid=chs239
{'4': 2},70,njofre,242,Néstor Jofré Núñez,Renovación Nacional,M,https://www.camara.cl/img.aspx?prmid=chs242
"{'5': 24, '6': 24, '4': 24}",69,eaccorsi,800,Enrique Accorsi Opazo,Partido Por la Democracia,M,https://www.camara.cl/img.aspx?prmid=chs800
{'5': 5},57,raedo,801,René Aedo Ormeño,Renovación Nacional,M,https://www.camara.cl/img.aspx?prmid=chs801
"{'5': 37, '1': 0, '6': 37, '8': 37, '3': 37, '4': 37, '2': 37}",64,saguilo,802,Sergio Aguiló Melo,Partido Socialista,M,https://www.camara.cl/img.aspx?prmid=chs802
"{'5': 59, '6': 59}",59,ralinco,803,René Alinco Bustos,Partido Por la Democracia,M,https://www.camara.cl/img.aspx?prmid=chs803
"{'5': 29, '3': 29, '4': 29, '2': 0}",72,iallende,804,Isabel Allende Bussi,Partido Socialista,F,https://www.camara.cl/img.aspx?prmid=chs804
"{'5': 58, '3': 58, '4': 58, '2': 0}",57,alvarado,805,Claudio Alvarado Andrade,Unión Demócrata Independiente,M,https://www.camara.cl/img.aspx?prmid=chs805
"{'5': 38, '3': 38, '1': 0, '4': 38, '2': 38}",69,alvarez,806,Pedro Pablo Alvarez-Salamanca Büchi,Renovación Nacional,M,https://www.camara.cl/img.aspx?prmid=chs806
"{'5': 60, '3': 60, '4': 60}",51,ralvarez,807,Rodrigo Álvarez Zenteno,Unión Demócrata Independiente,M,https://www.camara.cl/img.aspx?prmid=chs807
"{'5': 4, '6': 4, '4': 4}",43,paraya,808,Pedro Araya Guerrero,Independientes,M,https://www.camara.cl/img.aspx?prmid=chs808
"{'5': 48, '6': 48}",44,garenas,809,Gonzalo Arenas Hödar,Unión Demócrata Independiente,M,https://www.camara.cl/img.aspx?prmid=chs809
"{'6': 58, '5': 58, '3': 58, '4': 58, '2': 0}",64,ascencio,810,Gabriel Ascencio Mansilla,Partido Demócrata Cristiano,M,https://www.camara.cl/img.aspx?prmid=chs810
"{'8': 35, '6': 35, '4': 35, '5': 35}",59,jbarros,811,Ramón Barros Montero,Unión Demócrata Independiente,M,https://www.camara.cl/img.aspx?prmid=chs811
"{'5': 33, '6': 33, '4': 33}",70,ebauer,812,Eugenio Bauer Jouanne,Unión Demócrata Independiente,M,https://www.camara.cl/img.aspx?prmid=chs812
"{'8': 50, '6': 50, '4': 50, '5': 50}",62,gbecker,813,Germán Becker Alvear,Renovación Nacional,M,https://www.camara.cl/img.aspx?prmid=chs813
"{'6': 7, '5': 7, '3': 7, '4': 7}",63,mbertoli,814,Mario Bertolino Rendic,Renovación Nacional,M,https://www.camara.cl/img.aspx?prmid=chs814
"{'5': 45, '6': 45}",59,sbobadilla,815,Sergio Bobadilla Muñoz,Unión Demócrata Independiente,M,https://www.camara.cl/img.aspx?prmid=chs815
"{'5': 21, '6': 21, '4': 21}",61,jburgos,816,Jorge Burgos Varela,Partido Demócrata Cristiano,M,https://www.camara.cl/img.aspx?prmid=chs816
"{'5': 12, '3': 12, '4': 12}",81,jbustos,817,Juan Bustos Ramírez,Partido Socialista,M,https://www.camara.cl/img.aspx?prmid=chs817
"{'6': 22, '5': 22, '3': 22, '4': 22, '2': 0}",72,acardemil,818,Alberto Cardemil Herrera,Renovación Nacional,M,https://www.camara.cl/img.aspx?prmid=chs818
"{'5': 40, '8': 40, '6': 40, '3': 40, '2': 0, '4': 40}",71,gceroni,819,Guillermo Ceroni Fuentes,Partido Por la Democracia,M,https://www.camara.cl/img.aspx?prmid=chs819
{'5': 14},46,fchahuan,820,Francisco Chahuán Chahuán,Renovación Nacional,M,https://www.camara.cl/img.aspx?prmid=chs820
"{'5': 36, '3': 36, '1': 0, '4': 36, '2': 36}",79,scorrea,821,Sergio Correa De la Cerda,Unión Demócrata Independiente,M,https://www.camara.cl/img.aspx?prmid=chs821
"{'5': 24, '1': 0, '6': 24, '3': 24, '4': 24, '2': 24}",76,macristi,822,María Angélica Cristi Marfil,Renovación Nacional,F,https://www.camara.cl/img.aspx?prmid=chs822
"{'5': 21, '4': 21}",50,mcubillos,823,Marcela Cubillos Sigall,Unión Demócrata Independiente,F,https://www.camara.cl/img.aspx?prmid=chs823
"{'5': 53, '6': 53}",51,adeurresti,824,Alfonso De Urresti Longton,Partido Socialista,M,https://www.camara.cl/img.aspx?prmid=chs824
"{'6': 53, '5': 53, '3': 53, '4': 53}",72,rdelmast,825,Roberto Delmastro Naso,Renovación Nacional,M,https://www.camara.cl/img.aspx?prmid=chs825
"{'5': 51, '3': 51, '4': 51}",43,ediaz,826,Eduardo Díaz Del Río,Partido Regionalista Independiente,M,https://www.camara.cl/img.aspx?prmid=chs826
"{'5': 7, '6': 7}",46,mdiaz,827,Marcelo Díaz Díaz,Partido Socialista,M,https://www.camara.cl/img.aspx?prmid=chs827
"{'5': 23, '3': 23, '4': 23}",66,jdittbor,828,Julio Dittborn Cordua,Unión Demócrata Independiente,M,https://www.camara.cl/img.aspx?prmid=chs828
{'5': 26},64,gduarte,829,Gonzalo Duarte Leiva,Partido Demócrata Cristiano,M,https://www.camara.cl/img.aspx?prmid=chs829
"{'5': 44, '4': 44}",70,aegana,830,Andrés Egaña Respaldiza,Unión Demócrata Independiente,M,https://www.camara.cl/img.aspx?prmid=chs830
"{'5': 15, '6': 14}",67,eeluchans,831,Edmundo Eluchans Urenda,Unión Demócrata Independiente,M,https://www.camara.cl/img.aspx?prmid=chs831
"{'5': 8, '3': 8, '4': 8, '2': 0}",73,fencina,832,Francisco Encina Moriamez,Partido Socialista,M,https://www.camara.cl/img.aspx?prmid=chs832
{'5': 10},44,menriquez-ominami,833,Marco Enríquez-Ominami Gumucio,Independientes,M,https://www.camara.cl/img.aspx?prmid=chs833
"{'5': 29, '3': 29, '4': 29, '2': 0}",72,merrazu,834,Maximiano Errázuriz Eguiguren,Renovación Nacional,M,https://www.camara.cl/img.aspx?prmid=chs834
{'5': 20},50,aescobar,835,Alvaro Escobar Rufatt,Independientes,M,https://www.camara.cl/img.aspx?prmid=chs835
"{'8': 3, '6': 3, '5': 3}",55,mespinosa,836,Marcos Espinosa Monardes,Partido Radical Social Demócrata,M,https://www.camara.cl/img.aspx?prmid=chs836
"{'8': 56, '6': 56, '4': 56, '5': 56}",47,fespinoza,837,Fidel Espinoza Sandoval,Partido Socialista,M,https://www.camara.cl/img.aspx?prmid=chs837
"{'5': 49, '6': 49}",59,eestay,838,Enrique Estay Peñaloza,Unión Demócrata Independiente,M,https://www.camara.cl/img.aspx?prmid=chs838
"{'8': 25, '6': 30, '5': 30}",62,rfarias,839,Ramón Farías Ponce,Partido Por la Democracia,M,https://www.camara.cl/img.aspx?prmid=chs839
"{'5': 11, '4': 11}",50,mforni,840,Marcelo Forni Lobos,Unión Demócrata Independiente,M,https://www.camara.cl/img.aspx?prmid=chs840
"{'5': 9, '2': 0}",69,rfuentealba,841,Renán Fuentealba Vildósola,Partido Demócrata Cristiano,M,https://www.camara.cl/img.aspx?prmid=chs841
"{'5': 59, '3': 59, '4': 59}",54,pgalilea,842,Pablo Galilea Carrillo,Renovación Nacional,M,https://www.camara.cl/img.aspx?prmid=chs842
"{'5': 52, '1': 0, '6': 52, '8': 52, '3': 52, '4': 52, '2': 52}",67,rmgarcia,843,René Manuel García García,Renovación Nacional,M,https://www.camara.cl/img.aspx?prmid=chs843
"{'6': 32, '5': 32, '3': 32, '4': 32, '2': 0}",65,agarcia,844,Alejandro García-Huidobro Sanfuentes,Unión de Centro Progresista,M,https://www.camara.cl/img.aspx?prmid=chs844
{'5': 18},82,ggirardibriere,845,Guido Girardi Briere,Partido Por la Democracia,M,https://www.camara.cl/img.aspx?prmid=chs845
"{'8': 13, '6': 13, '5': 13}",40,jgodoy,846,Joaquín Godoy Ibáñez,Renovación Nacional,M,https://www.camara.cl/img.aspx?prmid=chs846
"{'5': 60, '6': 60}",44,cgoic,847,Carolina Goic Boroevic,Partido Demócrata Cristiano,F,https://www.camara.cl/img.aspx?prmid=chs847
"{'8': 14, '6': 14, '4': 14, '5': 14}",76,rodrigogonzalez,848,Rodrigo González Torres,Partido Por la Democracia,M,https://www.camara.cl/img.aspx?prmid=chs848
"{'6': 19, '5': 19, '3': 19, '4': 19}",71,phales,849,Patricio Hales Dib,Partido Por la Democracia,M,https://www.camara.cl/img.aspx?prmid=chs849
"{'8': 55, '6': 55, '4': 55, '5': 55}",63,jhernandez,850,Javier Hernández Hernández,Unión Demócrata Independiente,M,https://www.camara.cl/img.aspx?prmid=chs850
{'5': 12},-1,aherrera,851,Amelia Herrera Silva,Renovación Nacional,F,https://www.camara.cl/img.aspx?prmid=chs851
"{'8': 9, '5': 28}",50,jorge.insunza,852,Jorge Insunza Gregorio de las Heras,Partido Por la Democracia,M,https://www.camara.cl/img.aspx?prmid=chs852
"{'5': 2, '6': 2}",51,misasi,853,Marta Isasi Barbieri,Independientes,F,https://www.camara.cl/img.aspx?prmid=chs853
"{'6': 54, '8': 54, '3': 54, '4': 54, '5': 54}",80,ejaramil,854,Enrique Jaramillo Becker,Partido Por la Democracia,M,https://www.camara.cl/img.aspx?prmid=chs854
"{'6': 41, '8': 41, '3': 41, '4': 41, '5': 41}",72,cjarpa,855,Carlos Abel Jarpa Wevar,Partido Radical Social Demócrata,M,https://www.camara.cl/img.aspx?prmid=chs855
"{'8': 27, '6': 27, '5': 27}",55,tjimenez,856,Tucapel Jiménez Fuentes,Partido Por la Democracia,M,https://www.camara.cl/img.aspx?prmid=chs856
"{'8': 24, '6': 30, '4': 30, '5': 30}",51,jkast,857,José Antonio Kast Rist,Unión Demócrata Independiente,M,https://www.camara.cl/img.aspx?prmid=chs857
"{'5': 35, '6': 35, '1': 0, '2': 35}",68,jclatorre,858,Juan Carlos Latorre Carmona,Partido Demócrata Cristiano,M,https://www.camara.cl/img.aspx?prmid=chs858
"{'5': 5, '3': 5, '4': 5}",67,aleal,859,Antonio Leal Labrín,Partido Por la Democracia,M,https://www.camara.cl/img.aspx?prmid=chs859
"{'8': 36, '3': 36, '6': 36, '2': 0, '5': 36}",66,rleon,860,Roberto León Ramírez,Partido Demócrata Cristiano,M,https://www.camara.cl/img.aspx?prmid=chs860
"{'5': 47, '6': 47}",56,jlobos,861,Juan Lobos Krause,Unión Demócrata Independiente,M,https://www.camara.cl/img.aspx?prmid=chs861
"{'6': 38, '8': 38, '3': 38, '4': 38, '5': 38}",68,plorenzi,862,Pablo Lorenzini Basso,Partido Demócrata Cristiano,M,https://www.camara.cl/img.aspx?prmid=chs862
"{'5': 41, '8': 41, '6': 41, '3': 41, '2': 0, '4': 41}",67,romar,863,Rosauro Martínez Labbé,Renovación Nacional,M,https://www.camara.cl/img.aspx?prmid=chs863
